user_name,date,tweet_id,text,hashtags
Nancy Pelosi,Tue May 14 19:27:03 +0000 2019,1128381225457131520,"As public servants, we have a patriotic duty to preserve the right of the American people to know if a foreign adversary is influencing our elections. #LawlessPresident https://t.co/FeYJc5TpiA",[['LawlessPresident']]
Nancy Pelosi,Tue May 14 18:35:32 +0000 2019,1128368260745977858,"With another vote scheduled this Thursday on legislation to lower prescription drug costs, crack down on junk insurance plans, and reverse the Administration’s health care sabotage, Democrats are hard at work #ForThePeople! https://t.co/Fm4rNl0Ouw",[['ForThePeople']]
Nancy Pelosi,Tue May 14 00:55:58 +0000 2019,1128101613091131397,"Thank you to the SF AAPI leaders at today’s roundtable for an engaging discussion on immigration, the census, housing &amp; health care. The Asian American Pacific Islander community is an integral part of our city’s unique identity &amp; together we will ensure a bright future for all! https://t.co/re2LthErp8",[None]
Nancy Pelosi,Mon May 13 23:30:53 +0000 2019,1128080203123777541,"In this week’s #TownhallForThePeople, @RepCicilline sits down with @SarahEMcBride of the @HRC to discuss H.R. 5, the #EqualityAct, and what it means for LGBTQ Americans.
 
Reply with your questions and tune in at 6:30 pm ET Wednesday! https://t.co/nzfLxKt8iw","[['TownhallForThePeople', 'EqualityAct']]"
Nancy Pelosi,Mon May 13 20:59:56 +0000 2019,1128042212355399688,.@realDonaldTrump’s effort to conceal the truth from the American people is without precedent. Americans have a right to know the truth and that their government is working for the people. #LawlessPresident https://t.co/jJC4G3lkcP,[['LawlessPresident']]
Nancy Pelosi,Mon May 13 19:43:04 +0000 2019,1128022871442382852,Republicans’ desperate attempts to smear @RepRashida &amp; misrepresent her comments are outrageous. President @realDonaldTrump &amp; House GOP should apologize to Rep. Tlaib &amp; the American people for their gross misrepresentations.,[None]
Nancy Pelosi,Sun May 12 20:52:56 +0000 2019,1127678064195002368,"For the first time ever, there are more than 100 women in the House – bringing an all new reason to celebrate this #MothersDay! https://t.co/lO0AkkmHBS",[['MothersDay']]
Nancy Pelosi,Sun May 12 17:01:20 +0000 2019,1127619779827851276,Wishing a very happy #MothersDay to you all! https://t.co/UfZ4VK5c6w,[['MothersDay']]
Nancy Pelosi,Fri May 10 20:46:16 +0000 2019,1126951612449206274,"The @HouseGOP’s aversion to governing reared its head once again just a few hours ago. Instead of voting to support Americans nationwide who are recovering &amp; rebuilding, 150 Republicans voted against bipartisan emergency disaster funding. Americans deserve better.",[None]
Nancy Pelosi,Fri May 10 20:36:50 +0000 2019,1126949237693067266,Women of color are three times as likely to die as a result of complications from pregnancy or childbirth than white women. #MomsDeserve a solution to save lives!,[['MomsDeserve']]
Nancy Pelosi,Thu May 09 19:11:41 +0000 2019,1126565422373986306,Always my honor to welcome the leading voices of our veterans to the Capitol. Thank you to all who joined us at yesterday’s roundtable as we work together addressing the challenges facing all who served. https://t.co/BO38AiV8WG,[None]
Nancy Pelosi,Thu May 09 16:11:02 +0000 2019,1126519957498597376,"In January, the Democratic House passed a strong emergency disaster relief bill. We will pass legislation again tomorrow to support communities working to rebuild after the devastating Midwest floods &amp; other recent disasters.",[None]
Nancy Pelosi,Thu May 09 16:09:01 +0000 2019,1126519452202414080,"As we prepare to celebrate #MothersDay, we are continuing to fight to end the tragedy of maternal death. Women of color die from pregnancy complications three times as often as white women.",[['MothersDay']]
Nancy Pelosi,Thu May 09 15:59:13 +0000 2019,1126516986417229825,"From the #ClimateActionNow Act to the #ForThePeople Act, our Democratic House is delivering For The People. @SenateMajLdr calls himself the “grim reaper” of House bills — but our legislation is alive &amp; well with the American people!","[['ClimateActionNow', 'ForThePeople']]"
Nancy Pelosi,Thu May 09 15:20:29 +0000 2019,1126507238531551237,Trump and his Administration’s decision to ignore the oath of office has triggered a constitutional crisis. It’s appalling that the Administration is an obstacle to protecting our elections &amp; getting the truth for the American people. #FreeMueller,[['FreeMueller']]
Nancy Pelosi,Thu May 09 14:10:32 +0000 2019,1126489632865169408,I’m speaking with reporters ahead of Democrats’ vote to strengthen pre-existing condition protections. https://t.co/fHX1XzlDoE,[None]
Nancy Pelosi,Thu May 09 13:39:50 +0000 2019,1126481906655268865,Tune in as I speak with reporters live from the Capitol at 10 am ET: https://t.co/rFd2fqW3Qv,[None]
Nancy Pelosi,Thu May 09 02:43:59 +0000 2019,1126316856481128448,We are now just weeks away from another hurricane season and Republicans continue to delay and play politics with emergency disaster relief for Puerto Rico and communities impacted by flooding in the Midwest &amp; tornados in the South. https://t.co/D6KR2iGaGC,[None]
Nancy Pelosi,Wed May 08 22:59:05 +0000 2019,1126260260715540482,"The Trump Admin is fighting to replace many Americans’ health care with junk insurance policies that are allowed to discriminate against people with pre-existing conditions. Democrats believe in strengthening protections, not destroying them. #ProtectOurCare https://t.co/kbDRITuhfK",[['ProtectOurCare']]
Nancy Pelosi,Wed May 08 22:02:25 +0000 2019,1126246000698494977,Democrats are working hard to strengthen pre-existing condition protections in the face of ongoing Republican attacks on Americans’ health care. Tune in as physician @RepKimSchrier answers your questions! #TownhallForThePeople https://t.co/NabcJRjCGP,[['TownhallForThePeople']]
